nodo,saida,pulso,pulso,corrente,set
i1,g1,up,down,102.12890625E-6,=E2*0.00000000019/(1.08E-14*0.000000021)
i1,g1,down,up,151.734375E-6,=E3*0.00000000019/(1.08E-14*0.000000021)
i2,g1,up,up,102.12890625E-6,=E4*0.00000000019/(1.08E-14*0.000000021)
i2,g1,down,down,150.275390625E-6,=E5*0.00000000019/(1.08E-14*0.000000021)
i3,g1,up,down,100.18359375E-6,=E6*0.00000000019/(1.08E-14*0.000000021)
i3,g1,down,up,151.734375E-6,=E7*0.00000000019/(1.08E-14*0.000000021)
g1,g1,up,up,101.15625E-6,=E8*0.00000000019/(1.08E-14*0.000000021)
g1,g1,down,down,155.625E-6,=E9*0.00000000019/(1.08E-14*0.000000021)
i4,g2,up,down,171.1875E-6,=E10*0.00000000019/(1.08E-14*0.000000021)
i4,g2,down,up,79.7578125E-6,=E11*0.00000000019/(1.08E-14*0.000000021)
i5,g2,up,down,169.2421875E-6,=E12*0.00000000019/(1.08E-14*0.000000021)
i5,g2,down,up,159.515625E-6,=E13*0.00000000019/(1.08E-14*0.000000021)
g2,g2,up,up,171.1875E-6,=E14*0.00000000019/(1.08E-14*0.000000021)
g2,g2,down,down,77.8125E-6,=E15*0.00000000019/(1.08E-14*0.000000021)
