****** Advanced Variability Analysis ******
Copyright (c) 2018 - 2022 by Synopsys, Inc. All Rights Reserved.

This software and the associated documentation are proprietary
to Synopsys, Inc. This software may only be used in accordance
with the terms and conditions of a written license agreement with
Synopsys, Inc. All other use, reproduction, or distribution of
this software is strictly prohibited.

AVA Version: S-2021.09-DEV, Build time: Thu Oct 28 06:52:47 2021, Application start time: Wed May 04 16:35:55 2022
Hostname: aorus, Username: bborges, PID: 1222710
Working_Directory : /home/bborges/github
Command_Line_Options : c17v0_dm.hsp.json

This file format and content are subject to change.
================================================================

#QQnorm plots from data
# Not suitable for quantitative analysis
#Number of plot points
13
#Number of Measures
8
#Measure moments
Statistic,larg,largura,maxcor,maxnod,maxout,mincor,minnod,minout
Nominal,2.022e-10,-2.022e-10,6.308e-06,1.085,1.085,-2.359e-06,-0.002239,-0.002239
Mean,1.705e-10,-1.705e-10,4.375e-06,1.075,1.075,-2.11e-06,-0.002151,-0.002151
StdDev,1.429e-11,1.429e-11,9.463e-07,0.02048,0.02048,4.611e-07,0.0001552,0.0001552
Skewness,-2.699e-15,2.699e-15,6.817e-16,1.626e-14,1.626e-14,7.368e-16,-4.217e-15,-4.217e-15
Kurtosis,1,1,1,1,1,1,1,1
# Q/QL/QU refer to the Quantile and its Lower/Upper confidence limits in terms of sigma
#Measure names
larg,largura,maxcor,maxnod,maxout,mincor,minnod,minout,Q,QL,QU
1.578e-10,-1.832e-10,3.533e-06,1.056,1.056,-2.521e-06,-0.002289,-0.002289,-0.6,-3.41,1.657
1.599e-10,-1.811e-10,3.673e-06,1.059,1.059,-2.452e-06,-0.002266,-0.002266,-0.5,-3.264,1.803
1.62e-10,-1.79e-10,3.813e-06,1.062,1.062,-2.384e-06,-0.002243,-0.002243,-0.4,-3.118,1.949
1.641e-10,-1.769e-10,3.954e-06,1.065,1.065,-2.316e-06,-0.00222,-0.00222,-0.3,-2.972,2.095
1.663e-10,-1.747e-10,4.094e-06,1.068,1.068,-2.247e-06,-0.002197,-0.002197,-0.2,-2.825,2.241
1.684e-10,-1.726e-10,4.234e-06,1.071,1.071,-2.179e-06,-0.002174,-0.002174,-0.1,-2.679,2.387
1.705e-10,-1.705e-10,4.375e-06,1.075,1.075,-2.11e-06,-0.002151,-0.002151,0,-2.533,2.533
1.726e-10,-1.684e-10,4.515e-06,1.078,1.078,-2.042e-06,-0.002128,-0.002128,0.1,-2.387,2.679
1.747e-10,-1.663e-10,4.655e-06,1.081,1.081,-1.974e-06,-0.002105,-0.002105,0.2,-2.241,2.825
1.769e-10,-1.641e-10,4.796e-06,1.084,1.084,-1.905e-06,-0.002082,-0.002082,0.3,-2.095,2.972
1.79e-10,-1.62e-10,4.936e-06,1.087,1.087,-1.837e-06,-0.002059,-0.002059,0.4,-1.949,3.118
1.811e-10,-1.599e-10,5.076e-06,1.09,1.09,-1.769e-06,-0.002036,-0.002036,0.5,-1.803,3.264
1.832e-10,-1.578e-10,5.216e-06,1.093,1.093,-1.7e-06,-0.002013,-0.002013,0.6,-1.657,3.41
