$DATA1 SOURCE='PrimeSim HSPICE' VERSION='S-2021.09-2
$OPTION MEASFORM=3
$ This file format is subject to change 
$ The seperator is :@:                  
$index=1 is a nominal sample in Monte Carlo.
$option ignore_global_variation = no              
$option ignore_local_variation = no               
$option ignore_aging_variation = yes              
$option ignore_interconnect_variation = no        
$option ignore_spatial_variation = no   
$option ignore_variation = no 
$option sampling_method  = srs                  
$option normal_limit     =      20.0000       
$option replicates       =   1      
$option random_generator = MCG                          
$option seed             =       1  
$option stream           =   1      
$option output_sigma_value =  1     
$option use_agauss_format = yes     
$option screening_method = pearson  
$Global Variable number:        2                               
$Local Variable number:        0                                
$Aging Variable number:        0                                
.TITLE 'benchmark c17 v0'
$ rng_params = ( 2, 50, 0, 4, 1, 1, 20.000000, 1, 1.000000,  [ 2, 2])
$ IRV index: - 1 2
index,nmos_rvt:@:phig_var_n:@:IGNC,pmos_rvt:@:phig_var_p:@:IGNC
1,   0.,   0.,
2,  -0.8014,  -0.8294,
3,  -0.2677,   0.2150,
4,   1.6757,   0.8946,
5,   0.2014,   1.0447,
6,  -1.7987,   2.7742,
7,   0.6560,  -1.2719,
8,  -0.4937,   0.4482,
9,   0.3209,   1.4379,
10,  -0.5189,  -0.3780,
11,   0.5518,   0.3415,
12,   0.2900,  -0.1841,
13,   0.8485,  -0.7446,
14,  -1.2438,   0.6697,
15,   0.6131,  -1.1911,
16,   0.3824,   0.9694,
17,  -1.8849,   0.6073,
18,   0.8013,   0.2451,
19,  -1.3209,   0.8362,
20,  -2.4502,  -1.2897,
21,   0.4527,   0.7240,
22,  -0.7223,  -0.2172,
23,  -0.5204,  -1.5757,
24,   1.4914,   1.8448,
25,  -0.2509,   1.7263,
26,  -0.6471,   0.4233,
27,  -1.3806,  -0.6952,
28,  -0.9646,   0.3830,
29,   0.6670,   1.6099,
30,  -0.4127,   0.7432,
31,   1.0667,   0.5062,
32,  -0.6887,   0.1982,
33,  -0.9693,  -1.3396,
34,  -0.4554,  -0.8909,
35,  -1.3938,  -0.6278,
36,  -0.4497,   1.4317,
37,  -0.2580,   1.7744,
38,-5.788e-02,  -0.6133,
39,   0.9223,  -1.4350,
40,  -0.5781,-5.277e-02,
41,   0.9878,   0.4383,
42,   0.7875,   0.5180,
43,  -0.6764,   0.3506,
44,  -0.2638,   0.3708,
45,   0.1919,   0.6274,
46,  -0.5351,   1.5320,
47,  -0.6454,   1.4374,
48,   0.1960,  -0.4051,
49,   0.9222,  -0.2628,
50,   1.0165,  -0.6328,
