nodo,saida,pulso,pulso,corrente,set,num val,validacoes->
e1,g1,rise,fall,21.7459716796875,1.09e+07,1,'11010
e1,g1,fall,rise,28.872802734375,1.45e+07,1,'01010
i1,g1,rise,fall,70.171875,3.53e+07,1,'11000
i1,g1,fall,rise,28.872802734375,1.45e+07,1,'10000
e2,g1,rise,rise,22.286575317382812,1.12e+07,1,'01110
e2,g1,fall,fall,29.847412109375,1.50e+07,1,'01100
i2,g1,rise,rise,90.638671875,4.56e+07,1,'01110
i2,g1,fall,fall,29.832183837890625,1.50e+07,2,'00110,'10110
e3,g1,rise,fall,21.9896240234375,1.11e+07,1,'00100
e3,g1,fall,rise,29.360107421875,1.48e+07,1,'01110
i3,g1,rise,fall,77.96875,3.92e+07,2,'00100,'00110
i3,g1,fall,rise,29.23828125,1.47e+07,2,'00000,'00010
g1,g1,rise,rise,20.466796875,1.03e+07,7,'00000,'00010,'01000,'01010,'01110,'10000,'10010
g1,g1,fall,fall,26.314453125,1.32e+07,8,'00100,'00110,'01100,'10100,'10110,'11000,'11010,'11110
i4,g1,rise,rise,42.8828125,2.16e+07,5,'00000,'00010,'01000,'01010,'01110
i4,g1,fall,fall,26.314453125,1.32e+07,3,'00100,'00110,'01100
nd,g2,rise,rise,44.1619873046875,2.22e+07,1,'01111
nd,g2,fall,fall,29.847412109375,1.50e+07,1,'01101
nb,g2,rise,rise,44.38279724121094,2.23e+07,1,'01111
nb,g2,fall,fall,30.06060791015625,1.51e+07,1,'00111
i5,g2,rise,fall,43.61376953125,2.19e+07,2,'00100,'00110
i5,g2,fall,rise,56.52734375,2.84e+07,2,'00000,'00010
e4,g2,rise,fall,43.6746826171875,2.20e+07,1,'00001
e4,g2,fall,rise,14.46685791015625,7.27e+06,1,'00000
i6,g2,rise,fall,43.248291015625,2.17e+07,1,'00110
i6,g2,fall,rise,50.6796875,2.55e+07,1,'01110
e5,g2,rise,fall,43.248291015625,2.17e+07,1,'01101
e5,g2,fall,rise,14.253662109375,7.16e+06,1,'01111
i7,g2,rise,rise,40.93359375,2.06e+07,1,'00000
i7,g2,fall,fall,27.2890625,1.37e+07,3,'00001,'00100,'00101
g2,g2,rise,rise,40.93359375,2.06e+07,6,'00000,'00010,'01000,'01011,'01110,'01111
g2,g2,fall,fall,12.91357421875,6.49e+06,1,'00101
