****** Advanced Variability Analysis ******
Copyright (c) 2018 - 2022 by Synopsys, Inc. All Rights Reserved.

This software and the associated documentation are proprietary
to Synopsys, Inc. This software may only be used in accordance
with the terms and conditions of a written license agreement with
Synopsys, Inc. All other use, reproduction, or distribution of
this software is strictly prohibited.

AVA Version: S-2021.09-DEV, Build time: Thu Oct 28 06:52:47 2021, Application start time: Thu Apr 28 15:44:04 2022
Hostname: aorus, Username: bborges, PID: 292304
Working_Directory : /home/bborges/github
Command_Line_Options : c17v2_dm.hsp.json

This file format and content are subject to change.
================================================================

#QQnorm plots from data
# Not suitable for quantitative analysis
#Number of plot points
65
#Number of Measures
6
#Measure moments
Statistic,maxcor,maxnod,maxout,mincor,minnod,minout
Nominal,9.496e-07,0.7,0.001074,-6.851e-07,0.6876,-0.001544
Mean,1.035e-06,0.7,0.001122,-7.433e-07,0.6873,-0.001577
StdDev,1.571e-07,0.0002446,0.0001683,1.183e-07,0.001927,0.0003266
Skewness,0.4431,-24.2,2.618,-1.745,-2.559,0.2053
Kurtosis,2.75,668.5,22.32,6.323,19.37,7.318
# Q/QL/QU refer to the Quantile and its Lower/Upper confidence limits in terms of sigma
#Measure names
maxcor,maxnod,maxout,mincor,minnod,minout,Q,QL,QU
6.744e-07,0.6944,0.0006032,-1.268e-06,0.669,-0.002557,-3.2,-4.561,-2.569
6.88e-07,0.696,0.0006308,-1.241e-06,0.6717,-0.002551,-3.1,-4.19,-2.534
7.016e-07,0.6976,0.0006585,-1.214e-06,0.6743,-0.002545,-3,-3.82,-2.5
7.105e-07,0.6983,0.0006876,-1.203e-06,0.6761,-0.002507,-2.9,-3.549,-2.455
7.184e-07,0.6985,0.0007177,-1.2e-06,0.6774,-0.002457,-2.8,-3.329,-2.405
7.459e-07,0.6989,0.0007516,-1.2e-06,0.6782,-0.002455,-2.7,-3.146,-2.348
7.481e-07,0.699,0.0007566,-1.197e-06,0.6786,-0.002442,-2.6,-2.981,-2.285
7.57e-07,0.6993,0.0007832,-1.187e-06,0.6802,-0.002432,-2.5,-2.83,-2.217
7.656e-07,0.6996,0.0008134,-1.159e-06,0.6805,-0.00242,-2.4,-2.689,-2.145
7.706e-07,0.6997,0.0008266,-1.144e-06,0.681,-0.0024,-2.3,-2.555,-2.069
7.734e-07,0.6998,0.0008416,-1.137e-06,0.6818,-0.002342,-2.2,-2.428,-1.991
7.832e-07,0.6998,0.0008664,-1.134e-06,0.6824,-0.00229,-2.1,-2.305,-1.909
7.935e-07,0.6999,0.000893,-1.092e-06,0.683,-0.002262,-2,-2.185,-1.825
7.954e-07,0.6999,0.0009048,-1.075e-06,0.6833,-0.002231,-1.9,-2.069,-1.739
7.984e-07,0.7,0.0009135,-1.061e-06,0.6836,-0.002212,-1.8,-1.955,-1.65
8.022e-07,0.7,0.00093,-1.042e-06,0.6838,-0.002173,-1.7,-1.843,-1.561
8.112e-07,0.7,0.0009391,-1.024e-06,0.684,-0.002152,-1.6,-1.733,-1.47
8.2e-07,0.7,0.0009473,-9.935e-07,0.6842,-0.002119,-1.5,-1.625,-1.378
8.29e-07,0.7,0.0009527,-9.441e-07,0.6845,-0.002077,-1.4,-1.517,-1.285
8.389e-07,0.7,0.0009613,-9.156e-07,0.6849,-0.002039,-1.3,-1.411,-1.191
8.453e-07,0.7,0.0009692,-8.894e-07,0.6851,-0.002007,-1.2,-1.305,-1.096
8.534e-07,0.7,0.0009752,-8.484e-07,0.6853,-0.001964,-1.1,-1.2,-1.001
8.635e-07,0.7,0.0009839,-8.329e-07,0.6857,-0.0019,-1,-1.096,-0.9047
8.74e-07,0.7,0.0009926,-8.124e-07,0.686,-0.001853,-0.9,-0.9925,-0.8081
8.887e-07,0.7,0.001003,-7.862e-07,0.6863,-0.001822,-0.8,-0.8894,-0.7111
9.027e-07,0.7,0.001015,-7.637e-07,0.6865,-0.00179,-0.7,-0.7868,-0.6135
9.159e-07,0.7,0.001025,-7.498e-07,0.6867,-0.001749,-0.6,-0.6846,-0.5156
9.353e-07,0.7,0.001037,-7.346e-07,0.6869,-0.001721,-0.5,-0.5829,-0.4173
9.6e-07,0.7,0.001045,-7.256e-07,0.6871,-0.001696,-0.4,-0.4814,-0.3187
9.789e-07,0.7,0.001059,-7.2e-07,0.6873,-0.001667,-0.3,-0.3804,-0.2198
9.968e-07,0.7,0.001071,-7.169e-07,0.6874,-0.001627,-0.2,-0.2796,-0.1205
1.009e-06,0.7,0.001085,-7.131e-07,0.6876,-0.001577,-0.1,-0.1791,-0.02091
1.028e-06,0.7,0.001095,-7.1e-07,0.6878,-0.001521,0,-0.07896,0.07896
1.04e-06,0.7,0.001108,-7.033e-07,0.6879,-0.001479,0.1,0.02091,0.1791
1.061e-06,0.7,0.001122,-6.976e-07,0.688,-0.001451,0.2,0.1205,0.2796
1.075e-06,0.7,0.001136,-6.91e-07,0.6881,-0.001426,0.3,0.2198,0.3804
1.092e-06,0.7,0.001151,-6.857e-07,0.6883,-0.001404,0.4,0.3187,0.4814
1.112e-06,0.7,0.001162,-6.815e-07,0.6884,-0.001378,0.5,0.4173,0.5829
1.121e-06,0.7,0.001174,-6.783e-07,0.6885,-0.001353,0.6,0.5156,0.6846
1.129e-06,0.7,0.001189,-6.745e-07,0.6886,-0.001331,0.7,0.6135,0.7868
1.149e-06,0.7,0.001212,-6.708e-07,0.6887,-0.001311,0.8,0.7111,0.8894
1.171e-06,0.7,0.001235,-6.689e-07,0.6888,-0.001297,0.9,0.8081,0.9925
1.192e-06,0.7,0.001257,-6.65e-07,0.6889,-0.00128,1,0.9047,1.096
1.221e-06,0.7,0.001281,-6.627e-07,0.689,-0.00126,1.1,1.001,1.2
1.243e-06,0.7,0.001307,-6.607e-07,0.6891,-0.001246,1.2,1.096,1.305
1.261e-06,0.7,0.00133,-6.568e-07,0.6892,-0.001231,1.3,1.191,1.411
1.281e-06,0.7,0.001355,-6.547e-07,0.6894,-0.001215,1.4,1.285,1.517
1.29e-06,0.7,0.001372,-6.527e-07,0.6895,-0.0012,1.5,1.378,1.625
1.311e-06,0.7,0.001395,-6.506e-07,0.6895,-0.001184,1.6,1.47,1.733
1.335e-06,0.7,0.00142,-6.452e-07,0.6895,-0.001171,1.7,1.561,1.843
