****** Advanced Variability Analysis ******
Copyright (c) 2018 - 2022 by Synopsys, Inc. All Rights Reserved.

This software and the associated documentation are proprietary
to Synopsys, Inc. This software may only be used in accordance
with the terms and conditions of a written license agreement with
Synopsys, Inc. All other use, reproduction, or distribution of
this software is strictly prohibited.

AVA Version: S-2021.09-DEV, Build time: Thu Oct 28 06:52:47 2021, Application start time: Thu Apr 28 16:02:32 2022
Hostname: aorus, Username: bborges, PID: 297210
Working_Directory : /home/bborges/github
Command_Line_Options : c17v3_dm.hsp.json

This file format and content are subject to change.
================================================================

#QQnorm plots from data
# Not suitable for quantitative analysis
#Number of plot points
65
#Number of Measures
6
#Measure moments
Statistic,maxcor,maxnod,maxout,mincor,minnod,minout
Nominal,1.434e-06,0.01181,0.7029,-1.582e-06,-0.0002114,0.6971
Mean,1.464e-06,0.01203,0.703,-1.585e-06,-0.0001722,0.6972
StdDev,1.404e-07,0.001046,0.0002912,2.176e-07,0.000341,0.000343
Skewness,-0.8095,1.985,-0.6798,0.07645,16.69,0.07744
Kurtosis,5.552,9.139,6.272,3.367,318.3,4.776
# Q/QL/QU refer to the Quantile and its Lower/Upper confidence limits in terms of sigma
#Measure names
maxcor,maxnod,maxout,mincor,minnod,minout,Q,QL,QU
7.539e-07,0.01035,0.7011,-2.111e-06,-0.000248,0.6953,-3.2,-4.561,-2.569
8.143e-07,0.01038,0.7014,-2.11e-06,-0.000248,0.6957,-3.1,-4.19,-2.534
8.746e-07,0.01041,0.7017,-2.109e-06,-0.000248,0.6962,-3,-3.82,-2.5
8.971e-07,0.01043,0.7019,-2.106e-06,-0.0002474,0.6963,-2.9,-3.549,-2.455
9.022e-07,0.01045,0.702,-2.102e-06,-0.0002467,0.6963,-2.8,-3.329,-2.405
9.201e-07,0.01047,0.7021,-2.1e-06,-0.0002465,0.6964,-2.7,-3.146,-2.348
9.476e-07,0.0105,0.7021,-2.089e-06,-0.0002461,0.6964,-2.6,-2.981,-2.285
9.868e-07,0.01051,0.7022,-2.084e-06,-0.0002449,0.6964,-2.5,-2.83,-2.217
1.01e-06,0.01057,0.7023,-2.08e-06,-0.0002443,0.6964,-2.4,-2.689,-2.145
1.017e-06,0.01062,0.7023,-2.071e-06,-0.0002435,0.6964,-2.3,-2.555,-2.069
1.055e-06,0.01065,0.7024,-2.056e-06,-0.0002428,0.6965,-2.2,-2.428,-1.991
1.109e-06,0.01066,0.7024,-2.038e-06,-0.0002422,0.6965,-2.1,-2.305,-1.909
1.128e-06,0.01071,0.7025,-2.026e-06,-0.0002415,0.6965,-2,-2.185,-1.825
1.145e-06,0.01075,0.7025,-2.012e-06,-0.0002409,0.6965,-1.9,-2.069,-1.739
1.168e-06,0.01079,0.7026,-1.99e-06,-0.0002403,0.6966,-1.8,-1.955,-1.65
1.178e-06,0.01085,0.7026,-1.979e-06,-0.0002397,0.6966,-1.7,-1.843,-1.561
1.194e-06,0.01088,0.7026,-1.963e-06,-0.0002374,0.6966,-1.6,-1.733,-1.47
1.219e-06,0.01094,0.7026,-1.945e-06,-0.0002364,0.6967,-1.5,-1.625,-1.378
1.255e-06,0.01097,0.7027,-1.93e-06,-0.0002353,0.6967,-1.4,-1.517,-1.285
1.277e-06,0.01102,0.7027,-1.905e-06,-0.0002337,0.6967,-1.3,-1.411,-1.191
1.303e-06,0.01109,0.7027,-1.882e-06,-0.0002308,0.6968,-1.2,-1.305,-1.096
