****** Advanced Variability Analysis ******
Copyright (c) 2018 - 2022 by Synopsys, Inc. All Rights Reserved.

This software and the associated documentation are proprietary
to Synopsys, Inc. This software may only be used in accordance
with the terms and conditions of a written license agreement with
Synopsys, Inc. All other use, reproduction, or distribution of
this software is strictly prohibited.

AVA Version: S-2021.09-DEV, Build time: Thu Oct 28 06:52:47 2021, Application start time: Thu Apr 28 17:48:28 2022
Hostname: aorus, Username: bborges, PID: 549977
Working_Directory : /home/bborges/github
Command_Line_Options : c17v4_dm.hsp.json

This file format and content are subject to change.
================================================================

#QQnorm plots from data
# Not suitable for quantitative analysis
#Number of plot points
65
#Number of Measures
6
#Measure moments
Statistic,maxcor,maxnod,maxout,mincor,minnod,minout
Nominal,1.452e-06,0.7002,0.703,-1.562e-06,0.6876,0.6971
Mean,1.457e-06,0.7002,0.7031,-1.571e-06,0.6873,0.6971
StdDev,1.359e-07,0.0002457,0.000312,2.36e-07,0.001913,0.0003406
Skewness,-0.8738,-24.01,-0.5718,-0.07189,-2.607,0.1845
Kurtosis,6,661.8,5.602,3.097,19.81,4.14
# Q/QL/QU refer to the Quantile and its Lower/Upper confidence limits in terms of sigma
#Measure names
maxcor,maxnod,maxout,mincor,minnod,minout,Q,QL,QU
7.587e-07,0.6946,0.701,-2.127e-06,0.669,0.6954,-3.2,-4.561,-2.569
8.177e-07,0.6962,0.7014,-2.126e-06,0.6717,0.6958,-3.1,-4.19,-2.534
8.767e-07,0.6977,0.7017,-2.125e-06,0.6744,0.6961,-3,-3.82,-2.5
8.989e-07,0.6984,0.7019,-2.122e-06,0.6762,0.6963,-2.9,-3.549,-2.455
9.043e-07,0.6987,0.702,-2.119e-06,0.6776,0.6963,-2.8,-3.329,-2.405
9.248e-07,0.699,0.7021,-2.118e-06,0.6782,0.6963,-2.7,-3.146,-2.348
9.366e-07,0.6991,0.7021,-2.106e-06,0.6785,0.6963,-2.6,-2.981,-2.285
9.745e-07,0.6995,0.7022,-2.102e-06,0.6802,0.6963,-2.5,-2.83,-2.217
1.004e-06,0.6998,0.7023,-2.097e-06,0.6806,0.6964,-2.4,-2.689,-2.145
1.015e-06,0.6999,0.7024,-2.086e-06,0.681,0.6964,-2.3,-2.555,-2.069
1.05e-06,0.6999,0.7024,-2.073e-06,0.6818,0.6964,-2.2,-2.428,-1.991
1.106e-06,0.7,0.7025,-2.059e-06,0.6824,0.6964,-2.1,-2.305,-1.909
1.124e-06,0.7001,0.7025,-2.049e-06,0.683,0.6965,-2,-2.185,-1.825
1.144e-06,0.7001,0.7026,-2.033e-06,0.6832,0.6965,-1.9,-2.069,-1.739
1.172e-06,0.7001,0.7026,-2.013e-06,0.6836,0.6966,-1.8,-1.955,-1.65
1.181e-06,0.7001,0.7026,-2.002e-06,0.6838,0.6966,-1.7,-1.843,-1.561
1.201e-06,0.7001,0.7027,-1.986e-06,0.684,0.6966,-1.6,-1.733,-1.47
1.217e-06,0.7001,0.7027,-1.971e-06,0.6843,0.6966,-1.5,-1.625,-1.378
1.259e-06,0.7001,0.7027,-1.947e-06,0.6846,0.6966,-1.4,-1.517,-1.285
1.277e-06,0.7001,0.7027,-1.928e-06,0.6849,0.6967,-1.3,-1.411,-1.191
1.302e-06,0.7001,0.7028,-1.907e-06,0.6852,0.6967,-1.2,-1.305,-1.096
1.324e-06,0.7001,0.7028,-1.87e-06,0.6854,0.6967,-1.1,-1.2,-1.001
1.345e-06,0.7002,0.7028,-1.839e-06,0.6857,0.6968,-1,-1.096,-0.9047
1.364e-06,0.7002,0.7028,-1.807e-06,0.686,0.6968,-0.9,-0.9925,-0.8081
1.38e-06,0.7002,0.7029,-1.77e-06,0.6863,0.6968,-0.8,-0.8894,-0.7111
1.399e-06,0.7002,0.7029,-1.727e-06,0.6865,0.6969,-0.7,-0.7868,-0.6135
1.411e-06,0.7002,0.7029,-1.676e-06,0.6868,0.6969,-0.6,-0.6846,-0.5156
1.423e-06,0.7002,0.7029,-1.635e-06,0.687,0.6969,-0.5,-0.5829,-0.4173
1.435e-06,0.7002,0.7029,-1.607e-06,0.6871,0.6969,-0.4,-0.4814,-0.3187
1.447e-06,0.7002,0.703,-1.59e-06,0.6873,0.697,-0.3,-0.3804,-0.2198
1.46e-06,0.7002,0.703,-1.578e-06,0.6874,0.697,-0.2,-0.2796,-0.1205
1.47e-06,0.7002,0.703,-1.566e-06,0.6876,0.697,-0.1,-0.1791,-0.02091
1.478e-06,0.7002,0.703,-1.554e-06,0.6878,0.6971,0,-0.07896,0.07896
1.488e-06,0.7002,0.7031,-1.537e-06,0.6879,0.6971,0.1,0.02091,0.1791
1.497e-06,0.7002,0.7031,-1.519e-06,0.688,0.6971,0.2,0.1205,0.2796
1.505e-06,0.7002,0.7032,-1.504e-06,0.6881,0.6971,0.3,0.2198,0.3804
1.512e-06,0.7002,0.7032,-1.487e-06,0.6882,0.6972,0.4,0.3187,0.4814
1.521e-06,0.7002,0.7033,-1.465e-06,0.6884,0.6972,0.5,0.4173,0.5829
1.528e-06,0.7002,0.7034,-1.441e-06,0.6885,0.6972,0.6,0.5156,0.6846
1.535e-06,0.7002,0.7034,-1.425e-06,0.6886,0.6973,0.7,0.6135,0.7868
1.548e-06,0.7002,0.7034,-1.406e-06,0.6887,0.6974,0.8,0.7111,0.8894
1.557e-06,0.7002,0.7034,-1.38e-06,0.6888,0.6975,0.9,0.8081,0.9925
1.567e-06,0.7002,0.7035,-1.359e-06,0.6889,0.6975,1,0.9047,1.096
1.577e-06,0.7002,0.7035,-1.337e-06,0.689,0.6975,1.1,1.001,1.2
1.584e-06,0.7002,0.7035,-1.317e-06,0.6891,0.6975,1.2,1.096,1.305
1.6e-06,0.7002,0.7035,-1.291e-06,0.6891,0.6976,1.3,1.191,1.411
1.613e-06,0.7002,0.7035,-1.256e-06,0.6893,0.6976,1.4,1.285,1.517
1.619e-06,0.7002,0.7035,-1.232e-06,0.6894,0.6976,1.5,1.378,1.625
1.629e-06,0.7002,0.7035,-1.21e-06,0.6895,0.6977,1.6,1.47,1.733
1.636e-06,0.7002,0.7036,-1.176e-06,0.6896,0.6977,1.7,1.561,1.843
1.641e-06,0.7002,0.7036,-1.144e-06,0.6896,0.6977,1.8,1.65,1.955
1.645e-06,0.7002,0.7036,-1.127e-06,0.6897,0.6977,1.9,1.739,2.069
1.647e-06,0.7002,0.7036,-1.107e-06,0.6897,0.6978,2,1.825,2.185
1.649e-06,0.7002,0.7036,-1.072e-06,0.6898,0.6978,2.1,1.909,2.305
1.656e-06,0.7002,0.7036,-1.04e-06,0.6899,0.6979,2.2,1.991,2.428
1.8e-06,0.7002,0.7036,-1.013e-06,0.6899,0.6979,2.3,2.069,2.555
1.864e-06,0.7002,0.7036,-9.548e-07,0.69,0.698,2.4,2.145,2.689
1.882e-06,0.7002,0.7036,-9.211e-07,0.69,0.698,2.5,2.217,2.83
1.888e-06,0.7002,0.7036,-8.605e-07,0.6901,0.6981,2.6,2.285,2.981
1.908e-06,0.7002,0.7036,-8.428e-07,0.6902,0.6982,2.7,2.348,3.146
1.917e-06,0.7002,0.7036,-8.415e-07,0.6902,0.6982,2.8,2.405,3.329
1.924e-06,0.7002,0.7036,-8.154e-07,0.6903,0.6983,2.9,2.455,3.549
1.93e-06,0.7002,0.7036,-7.953e-07,0.6904,0.6983,3,2.5,3.82
1.934e-06,0.7002,0.7036,-7.914e-07,0.6904,0.6983,3.1,2.534,4.19
1.937e-06,0.7002,0.7036,-7.874e-07,0.6904,0.6984,3.2,2.569,4.561
