****** Advanced Variability Analysis ******
Copyright (c) 2018 - 2023 by Synopsys, Inc. All Rights Reserved.

This software and the associated documentation are proprietary
to Synopsys, Inc. This software may only be used in accordance
with the terms and conditions of a written license agreement with
Synopsys, Inc. All other use, reproduction, or distribution of
this software is strictly prohibited.

AVA Version: S-2021.09-DEV, Build time: Thu Oct 28 06:52:47 2021, Application start time: Wed Feb 01 17:52:08 2023
Hostname: aorus, Username: bborges, PID: 308846
Working_Directory : /home/bborges/github/circuitos/c17v0
Command_Line_Options : c17v0_dm.hsp.json

This file format and content are subject to change.
================================================================

#QQnorm plots from data
# Not suitable for quantitative analysis
#Number of plot points
41
#Number of Measures
4
#Measure moments
Statistic,maxnod,maxout,minnod,minout
Nominal,0.7004,0.001841,0.6997,-0.002753
Mean,0.7004,0.001875,0.6997,-0.002442
StdDev,9.635e-05,0.0003833,8.189e-05,0.0006748
Skewness,0.6012,2.065,-0.459,2.308
Kurtosis,2.657,8.994,2.588,10.71
# Q/QL/QU refer to the Quantile and its Lower/Upper confidence limits in terms of sigma
#Measure names
maxnod,maxout,minnod,minout,Q,QL,QU
0.7002,0.001428,0.6995,-0.00341,-2,-3.995,-0.9043
0.7002,0.00143,0.6995,-0.003392,-1.9,-3.698,-0.8609
0.7002,0.001432,0.6995,-0.003375,-1.8,-3.4,-0.8174
0.7002,0.001433,0.6995,-0.003357,-1.7,-3.103,-0.7739
0.7002,0.001435,0.6995,-0.003339,-1.6,-2.805,-0.7304
0.7002,0.001444,0.6996,-0.003317,-1.5,-2.547,-0.6808
0.7002,0.001465,0.6996,-0.003288,-1.4,-2.363,-0.6194
0.7002,0.001487,0.6996,-0.003258,-1.3,-2.18,-0.5579
0.7002,0.001503,0.6996,-0.003155,-1.2,-2.015,-0.491
0.7002,0.001514,0.6996,-0.002998,-1.1,-1.862,-0.4201
0.7003,0.001526,0.6996,-0.002889,-1,-1.718,-0.3457
0.7003,0.001537,0.6996,-0.002818,-0.9,-1.581,-0.2685
0.7003,0.001548,0.6996,-0.002781,-0.8,-1.452,-0.1873
0.7003,0.001555,0.6997,-0.002749,-0.7,-1.326,-0.1038
0.7003,0.001573,0.6997,-0.002717,-0.6,-1.205,-0.01784
0.7003,0.00173,0.6997,-0.002694,-0.5,-1.089,0.071
0.7003,0.001752,0.6997,-0.002641,-0.4,-0.9756,0.1623
0.7003,0.001757,0.6997,-0.002596,-0.3,-0.8653,0.2559
0.7003,0.001775,0.6997,-0.002574,-0.2,-0.7577,0.3517
0.7003,0.001801,0.6997,-0.002528,-0.1,-0.6527,0.4498
0.7003,0.001836,0.6997,-0.002476,0,-0.5501,0.5501
0.7003,0.00187,0.6997,-0.002439,0.1,-0.4498,0.6527
0.7004,0.001911,0.6997,-0.002404,0.2,-0.3517,0.7577
0.7004,0.001957,0.6997,-0.002374,0.3,-0.2559,0.8653
0.7004,0.001973,0.6997,-0.002337,0.4,-0.1623,0.9756
0.7004,0.002006,0.6997,-0.002304,0.5,-0.071,1.089
0.7004,0.002032,0.6998,-0.002282,0.6,0.01784,1.205
0.7004,0.002038,0.6998,-0.00227,0.7,0.1038,1.326
0.7004,0.002047,0.6998,-0.002222,0.8,0.1873,1.452
0.7004,0.002064,0.6998,-0.002153,0.9,0.2685,1.581
0.7005,0.002106,0.6998,-0.002115,1,0.3457,1.718
0.7005,0.00214,0.6998,-0.00208,1.1,0.4201,1.862
0.7005,0.002164,0.6998,-0.002046,1.2,0.491,2.015
0.7005,0.002179,0.6998,-0.002014,1.3,0.5579,2.18
0.7005,0.002182,0.6998,-0.001982,1.4,0.6194,2.363
0.7005,0.002186,0.6998,-0.001951,1.5,0.6808,2.547
0.7006,0.002337,0.6998,-0.001655,1.6,0.7304,2.805
0.7006,0.002565,0.6998,-0.001223,1.7,0.7739,3.103
0.7006,0.002792,0.6998,-0.0007912,1.8,0.8174,3.4
0.7006,0.003019,0.6998,-0.0003591,1.9,0.8609,3.698
0.7006,0.003247,0.6999,7.294e-05,2,0.9043,3.995
