****** Advanced Variability Analysis ******
Copyright (c) 2018 - 2023 by Synopsys, Inc. All Rights Reserved.

This software and the associated documentation are proprietary
to Synopsys, Inc. This software may only be used in accordance
with the terms and conditions of a written license agreement with
Synopsys, Inc. All other use, reproduction, or distribution of
this software is strictly prohibited.

AVA Version: S-2021.09-DEV, Build time: Thu Oct 28 06:52:47 2021, Application start time: Mon Feb 13 02:55:26 2023
Hostname: aorus, Username: bborges, PID: 1787798
Working_Directory : /home/bborges/github/circuitos/c17v1
Command_Line_Options : c17v1_dm.hsp.json

This file format and content are subject to change.
================================================================

#QQnorm plots from data
# Not suitable for quantitative analysis
#Number of plot points
43
#Number of Measures
4
#Measure moments
Statistic,maxnod,maxout,minnod,minout
Nominal,0.7045,0.7045,0.6953,0.6953
Mean,0.7044,0.7044,0.6955,0.6955
StdDev,0.0002352,0.0002352,0.0005094,0.0005094
Skewness,-2.803,-2.803,0.3284,0.3284
Kurtosis,11.94,11.94,2.482,2.482
# Q/QL/QU refer to the Quantile and its Lower/Upper confidence limits in terms of sigma
#Measure names
maxnod,maxout,minnod,minout,Q,QL,QU
0.7035,0.7035,0.6945,0.6945,-2.1,-4.104,-1.03
0.7036,0.7036,0.6946,0.6946,-2,-3.801,-0.9876
0.7037,0.7037,0.6946,0.6946,-1.9,-3.498,-0.9451
0.7038,0.7038,0.6946,0.6946,-1.8,-3.195,-0.9027
0.7039,0.7039,0.6946,0.6946,-1.7,-2.891,-0.8602
0.704,0.704,0.6947,0.6947,-1.6,-2.621,-0.8128
0.7041,0.7041,0.6947,0.6947,-1.5,-2.434,-0.7527
0.7042,0.7042,0.6948,0.6948,-1.4,-2.247,-0.6927
0.7043,0.7043,0.6949,0.6949,-1.3,-2.08,-0.6267
0.7043,0.7043,0.6949,0.6949,-1.2,-1.925,-0.5575
0.7043,0.7043,0.695,0.695,-1.1,-1.78,-0.4839
0.7043,0.7043,0.695,0.695,-1,-1.642,-0.408
0.7043,0.7043,0.695,0.695,-0.9,-1.511,-0.3282
0.7044,0.7044,0.6951,0.6951,-0.8,-1.385,-0.2456
0.7044,0.7044,0.6952,0.6952,-0.7,-1.263,-0.1607
0.7044,0.7044,0.6952,0.6952,-0.6,-1.145,-0.07325
0.7044,0.7044,0.6952,0.6952,-0.5,-1.03,0.01646
0.7045,0.7045,0.6952,0.6952,-0.4,-0.9188,0.1084
0.7045,0.7045,0.6953,0.6953,-0.3,-0.8097,0.2024
0.7045,0.7045,0.6953,0.6953,-0.2,-0.7031,0.2984
0.7045,0.7045,0.6954,0.6954,-0.1,-0.5987,0.3964
0.7045,0.7045,0.6954,0.6954,0,-0.4964,0.4964
0.7045,0.7045,0.6955,0.6955,0.1,-0.3964,0.5987
0.7045,0.7045,0.6955,0.6955,0.2,-0.2984,0.7031
0.7045,0.7045,0.6956,0.6956,0.3,-0.2024,0.8097
0.7045,0.7045,0.6957,0.6957,0.4,-0.1084,0.9188
0.7045,0.7045,0.6957,0.6957,0.5,-0.01646,1.03
0.7045,0.7045,0.6958,0.6958,0.6,0.07325,1.145
0.7045,0.7045,0.6958,0.6958,0.7,0.1607,1.263
0.7045,0.7045,0.6958,0.6958,0.8,0.2456,1.385
0.7046,0.7046,0.6959,0.6959,0.9,0.3282,1.511
0.7046,0.7046,0.6962,0.6962,1,0.408,1.642
0.7046,0.7046,0.6963,0.6963,1.1,0.4839,1.78
0.7046,0.7046,0.6963,0.6963,1.2,0.5575,1.925
0.7046,0.7046,0.6963,0.6963,1.3,0.6267,2.08
0.7046,0.7046,0.6963,0.6963,1.4,0.6927,2.247
0.7047,0.7047,0.6964,0.6964,1.5,0.7527,2.434
0.7047,0.7047,0.6964,0.6964,1.6,0.8128,2.621
0.7047,0.7047,0.6965,0.6965,1.7,0.8602,2.891
0.7047,0.7047,0.6965,0.6965,1.8,0.9027,3.195
0.7047,0.7047,0.6965,0.6965,1.9,0.9451,3.498
0.7047,0.7047,0.6965,0.6965,2,0.9876,3.801
0.7047,0.7047,0.6965,0.6965,2.1,1.03,4.104
