****** Advanced Variability Analysis ******
Copyright (c) 2018 - 2022 by Synopsys, Inc. All Rights Reserved.

This software and the associated documentation are proprietary
to Synopsys, Inc. This software may only be used in accordance
with the terms and conditions of a written license agreement with
Synopsys, Inc. All other use, reproduction, or distribution of
this software is strictly prohibited.

AVA Version: S-2021.09-DEV, Build time: Thu Oct 28 06:52:47 2021, Application start time: Mon Oct 17 02:04:15 2022
Hostname: aorus, Username: bborges, PID: 3701678
Working_Directory : /home/bborges/github/circuitos/c17v2
Command_Line_Options : c17v2_dm.hsp.json

This file format and content are subject to change.
================================================================

#QQnorm plots from data
# Not suitable for quantitative analysis
#Number of plot points
65
#Number of Measures
4
#Measure moments
Statistic,maxnod,maxout,minnod,minout
Nominal,2.233e-05,0.703,-2.315e-05,0.697
Mean,3.315e-05,0.703,-1.848e-05,0.6971
StdDev,8.148e-05,0.0002768,8.278e-05,0.0003489
Skewness,16.93,-0.8826,16.7,0.08473
Kurtosis,325.8,7.871,319.1,3.381
# Q/QL/QU refer to the Quantile and its Lower/Upper confidence limits in terms of sigma
#Measure names
maxnod,maxout,minnod,minout,Q,QL,QU
1.491e-05,0.701,-3.662e-05,0.6957,-3.2,-4.561,-2.569
1.496e-05,0.7014,-3.658e-05,0.696,-3.1,-4.19,-2.534
1.501e-05,0.7017,-3.654e-05,0.6962,-3,-3.82,-2.5
1.507e-05,0.7019,-3.625e-05,0.6963,-2.9,-3.549,-2.455
1.515e-05,0.702,-3.585e-05,0.6963,-2.8,-3.329,-2.405
1.52e-05,0.7021,-3.583e-05,0.6963,-2.7,-3.146,-2.348
1.533e-05,0.7021,-3.569e-05,0.6963,-2.6,-2.981,-2.285
1.551e-05,0.7022,-3.567e-05,0.6963,-2.5,-2.83,-2.217
1.57e-05,0.7023,-3.563e-05,0.6964,-2.4,-2.689,-2.145
1.594e-05,0.7023,-3.557e-05,0.6964,-2.3,-2.555,-2.069
1.61e-05,0.7024,-3.553e-05,0.6964,-2.2,-2.428,-1.991
1.626e-05,0.7024,-3.552e-05,0.6964,-2.1,-2.305,-1.909
1.664e-05,0.7025,-3.546e-05,0.6964,-2,-2.185,-1.825
1.676e-05,0.7025,-3.535e-05,0.6965,-1.9,-2.069,-1.739
1.726e-05,0.7026,-3.518e-05,0.6965,-1.8,-1.955,-1.65
1.76e-05,0.7026,-3.5e-05,0.6965,-1.7,-1.843,-1.561
1.793e-05,0.7026,-3.483e-05,0.6966,-1.6,-1.733,-1.47
1.816e-05,0.7027,-3.456e-05,0.6966,-1.5,-1.625,-1.378
1.832e-05,0.7027,-3.42e-05,0.6967,-1.4,-1.517,-1.285
1.862e-05,0.7027,-3.391e-05,0.6967,-1.3,-1.411,-1.191
1.907e-05,0.7027,-3.361e-05,0.6967,-1.2,-1.305,-1.096
1.946e-05,0.7028,-3.317e-05,0.6968,-1.1,-1.2,-1.001
2.005e-05,0.7028,-3.259e-05,0.6968,-1,-1.096,-0.9047
2.076e-05,0.7028,-3.222e-05,0.6968,-0.9,-0.9925,-0.8081
2.144e-05,0.7028,-3.161e-05,0.6969,-0.8,-0.8894,-0.7111
2.213e-05,0.7028,-3.103e-05,0.6969,-0.7,-0.7868,-0.6135
2.243e-05,0.7029,-3.047e-05,0.6969,-0.6,-0.6846,-0.5156
2.274e-05,0.7029,-2.995e-05,0.6969,-0.5,-0.5829,-0.4173
2.298e-05,0.7029,-2.956e-05,0.697,-0.4,-0.4814,-0.3187
2.324e-05,0.7029,-2.889e-05,0.697,-0.3,-0.3804,-0.2198
2.347e-05,0.703,-2.827e-05,0.697,-0.2,-0.2796,-0.1205
2.386e-05,0.703,-2.775e-05,0.6971,-0.1,-0.1791,-0.02091
2.433e-05,0.703,-2.725e-05,0.6971,0,-0.07896,0.07896
2.476e-05,0.703,-2.659e-05,0.6972,0.1,0.02091,0.1791
2.526e-05,0.7031,-2.611e-05,0.6972,0.2,0.1205,0.2796
2.569e-05,0.7031,-2.54e-05,0.6972,0.3,0.2198,0.3804
2.634e-05,0.7031,-2.477e-05,0.6973,0.4,0.3187,0.4814
2.684e-05,0.7032,-2.411e-05,0.6973,0.5,0.4173,0.5829
2.771e-05,0.7033,-2.366e-05,0.6973,0.6,0.5156,0.6846
2.876e-05,0.7033,-2.302e-05,0.6974,0.7,0.6135,0.7868
2.959e-05,0.7033,-2.238e-05,0.6974,0.8,0.7111,0.8894
3.041e-05,0.7033,-2.187e-05,0.6974,0.9,0.8081,0.9925
3.14e-05,0.7034,-2.092e-05,0.6975,1,0.9047,1.096
3.253e-05,0.7034,-1.948e-05,0.6975,1.1,1.001,1.2
3.384e-05,0.7034,-1.813e-05,0.6975,1.2,1.096,1.305
3.534e-05,0.7034,-1.665e-05,0.6976,1.3,1.191,1.411
3.655e-05,0.7034,-1.566e-05,0.6976,1.4,1.285,1.517
3.814e-05,0.7034,-1.338e-05,0.6977,1.5,1.378,1.625
4.038e-05,0.7034,-9.82e-06,0.6977,1.6,1.47,1.733
4.557e-05,0.7034,6.222e-07,0.6977,1.7,1.561,1.843
5.257e-05,0.7034,5.956e-06,0.6977,1.8,1.65,1.955
6.272e-05,0.7034,1.711e-05,0.6978,1.9,1.739,2.069
7.32e-05,0.7034,2.309e-05,0.6978,2,1.825,2.185
0.0001266,0.7034,9.786e-05,0.6978,2.1,1.909,2.305
0.0001678,0.7034,0.0001259,0.6979,2.2,1.991,2.428
0.000204,0.7034,0.000158,0.6979,2.3,2.069,2.555
0.0002181,0.7034,0.0001731,0.698,2.4,2.145,2.689
0.0002764,0.7034,0.0002314,0.6981,2.5,2.217,2.83
0.0004587,0.7034,0.0004146,0.6981,2.6,2.285,2.981
0.0004991,0.7034,0.0004671,0.6982,2.7,2.348,3.146
0.0006672,0.7034,0.0006282,0.6983,2.8,2.405,3.329
0.0012,0.7034,0.00116,0.6983,2.9,2.455,3.549
0.001593,0.7035,0.001553,0.6984,3,2.5,3.82
0.001642,0.7035,0.001605,0.6984,3.1,2.534,4.19
0.001691,0.7035,0.001658,0.6984,3.2,2.569,4.561
