****** Advanced Variability Analysis ******
Copyright (c) 2018 - 2022 by Synopsys, Inc. All Rights Reserved.

This software and the associated documentation are proprietary
to Synopsys, Inc. This software may only be used in accordance
with the terms and conditions of a written license agreement with
Synopsys, Inc. All other use, reproduction, or distribution of
this software is strictly prohibited.

AVA Version: S-2021.09-DEV, Build time: Thu Oct 28 06:52:47 2021, Application start time: Wed Jul 20 13:35:29 2022
Hostname: aorus, Username: bborges, PID: 2365180
Working_Directory : /home/bborges/github/circuitos/c17v3
Command_Line_Options : c17v3_dm.hsp.json

This file format and content are subject to change.
================================================================

#QQnorm plots from data
# Not suitable for quantitative analysis
#Number of plot points
65
#Number of Measures
4
#Measure moments
Statistic,maxnod,maxout,minnod,minout
Nominal,5.046e-05,0.001945,-3.902e-05,-0.002787
Mean,7.052e-05,0.001882,-2.274e-05,-0.002634
StdDev,0.0001679,0.0004122,0.0001723,0.000626
Skewness,16.95,7.259,16.44,3.899
Kurtosis,326.1,104.5,311.8,50.22
# Q/QL/QU refer to the Quantile and its Lower/Upper confidence limits in terms of sigma
#Measure names
maxnod,maxout,minnod,minout,Q,QL,QU
3.557e-05,0.0009383,-7.164e-05,-0.004176,-3.2,-4.561,-2.569
3.558e-05,0.001011,-7.111e-05,-0.004158,-3.1,-4.19,-2.534
3.56e-05,0.001084,-7.059e-05,-0.004139,-3,-3.82,-2.5
3.57e-05,0.001178,-7.041e-05,-0.004114,-2.9,-3.549,-2.455
3.583e-05,0.00128,-7.04e-05,-0.004086,-2.8,-3.329,-2.405
3.584e-05,0.001344,-7.029e-05,-0.004065,-2.7,-3.146,-2.348
3.592e-05,0.001365,-7.005e-05,-0.00404,-2.6,-2.981,-2.285
3.593e-05,0.001378,-6.999e-05,-0.003999,-2.5,-2.83,-2.217
3.595e-05,0.001384,-6.94e-05,-0.00397,-2.4,-2.689,-2.145
3.612e-05,0.001388,-6.902e-05,-0.003906,-2.3,-2.555,-2.069
3.661e-05,0.001395,-6.783e-05,-0.00388,-2.2,-2.428,-1.991
3.691e-05,0.001402,-6.751e-05,-0.003851,-2.1,-2.305,-1.909
3.697e-05,0.001422,-6.72e-05,-0.003793,-2,-2.185,-1.825
3.733e-05,0.001437,-6.615e-05,-0.003735,-1.9,-2.069,-1.739
3.755e-05,0.001459,-6.549e-05,-0.003669,-1.8,-1.955,-1.65
3.813e-05,0.001467,-6.457e-05,-0.003618,-1.7,-1.843,-1.561
3.829e-05,0.00148,-6.352e-05,-0.003525,-1.6,-1.733,-1.47
3.888e-05,0.001489,-6.24e-05,-0.003449,-1.5,-1.625,-1.378
3.935e-05,0.001504,-6.109e-05,-0.003391,-1.4,-1.517,-1.285
3.996e-05,0.00153,-6.063e-05,-0.003348,-1.3,-1.411,-1.191
4.081e-05,0.001547,-5.984e-05,-0.003301,-1.2,-1.305,-1.096
4.179e-05,0.00157,-5.916e-05,-0.003217,-1.1,-1.2,-1.001
4.278e-05,0.001584,-5.802e-05,-0.003119,-1,-1.096,-0.9047
4.373e-05,0.001599,-5.649e-05,-0.00306,-0.9,-0.9925,-0.8081
4.494e-05,0.001629,-5.457e-05,-0.003015,-0.8,-0.8894,-0.7111
4.597e-05,0.001651,-5.307e-05,-0.002961,-0.7,-0.7868,-0.6135
4.685e-05,0.001669,-5.131e-05,-0.002914,-0.6,-0.6846,-0.5156
4.775e-05,0.0017,-4.929e-05,-0.002885,-0.5,-0.5829,-0.4173
4.857e-05,0.001717,-4.716e-05,-0.002836,-0.4,-0.4814,-0.3187
4.966e-05,0.001744,-4.521e-05,-0.002794,-0.3,-0.3804,-0.2198
5.056e-05,0.001769,-4.231e-05,-0.002743,-0.2,-0.2796,-0.1205
5.179e-05,0.001795,-4.038e-05,-0.002676,-0.1,-0.1791,-0.02091
5.291e-05,0.001822,-3.917e-05,-0.002604,0,-0.07896,0.07896
5.394e-05,0.001867,-3.767e-05,-0.002552,0.1,0.02091,0.1791
5.511e-05,0.001918,-3.663e-05,-0.002493,0.2,0.1205,0.2796
5.641e-05,0.001939,-3.574e-05,-0.002445,0.3,0.2198,0.3804
5.779e-05,0.001963,-3.496e-05,-0.002401,0.4,0.3187,0.4814
5.906e-05,0.001987,-3.364e-05,-0.002359,0.5,0.4173,0.5829
6.094e-05,0.002011,-3.245e-05,-0.002328,0.6,0.5156,0.6846
6.241e-05,0.002036,-3.066e-05,-0.002292,0.7,0.6135,0.7868
6.37e-05,0.002059,-2.848e-05,-0.002256,0.8,0.7111,0.8894
6.592e-05,0.00209,-2.613e-05,-0.002224,0.9,0.8081,0.9925
6.945e-05,0.002116,-2.349e-05,-0.002183,1,0.9047,1.096
7.168e-05,0.002156,-2.031e-05,-0.002155,1.1,1.001,1.2
7.401e-05,0.00219,-1.591e-05,-0.002129,1.2,1.096,1.305
7.594e-05,0.002225,-1.2e-05,-0.002085,1.3,1.191,1.411
7.857e-05,0.00228,-7.814e-06,-0.002051,1.4,1.285,1.517
8.06e-05,0.002329,-5.475e-06,-0.002016,1.5,1.378,1.625
8.387e-05,0.002415,4.46e-06,-0.001989,1.6,1.47,1.733
9.134e-05,0.002478,2.302e-05,-0.001931,1.7,1.561,1.843
0.0001093,0.002525,4.448e-05,-0.001905,1.8,1.65,1.955
0.0001256,0.002598,6.207e-05,-0.001873,1.9,1.739,2.069
0.0001413,0.002646,8.366e-05,-0.001773,2,1.825,2.185
0.0002677,0.002695,0.0001962,-0.00164,2.1,1.909,2.305
0.0003467,0.002737,0.0002883,-0.00148,2.2,1.991,2.428
0.0004142,0.002836,0.0003589,-0.001287,2.3,2.069,2.555
0.0004454,0.003018,0.0003882,-0.001146,2.4,2.145,2.689
0.000571,0.003143,0.0005162,-0.0007437,2.5,2.217,2.83
0.0009471,0.003243,0.0008934,-0.0001884,2.6,2.285,2.981
0.001041,0.003414,0.0009905,0.0002312,2.7,2.348,3.146
0.001378,0.004153,0.001322,0.0005366,2.8,2.405,3.329
0.002475,0.006206,0.002423,0.002945,2.9,2.455,3.549
0.003285,0.007733,0.003237,0.004756,3,2.5,3.82
0.003385,0.007972,0.00334,0.00502,3.1,2.534,4.19
0.003486,0.008211,0.003444,0.005284,3.2,2.569,4.561
