indice,pmos,nmos,nodo,saida,corrente,LETth
1.0,4.8108,4.372,i2,g1,400.00152587890625,201058968.03437087
2.0,4.7442987080000005,4.313604653333333,i2,g1,187.5,94246031.74603175
3.0,4.8280387000000005,4.3524935933333335,e1,g1,200.0,100529100.52910052
4.0,4.882529028,4.494102673333333,i1,g1,197.4609375,99252852.18253967
5.0,4.894564046,4.386675346666666,e1,g1,200.0,100529100.52910052
6.0,5.0332353560000005,4.240934726666667,i2,g1,300.0,150793650.7936508
7.0,4.7088190580000004,4.4198005333333334,i2,g1,162.5,81679894.17989418
8.0,4.846736676000001,4.336025726666667,e1,g1,200.0,100529100.52910052
9.0,4.926090822000001,4.395382913333333,e1,g1,200.0,100529100.52910052
10.0,4.78049196,4.334189486666666,e1,g1,200.0,100529100.52910052
