****** Advanced Variability Analysis ******
Copyright (c) 2018 - 2023 by Synopsys, Inc. All Rights Reserved.

This software and the associated documentation are proprietary
to Synopsys, Inc. This software may only be used in accordance
with the terms and conditions of a written license agreement with
Synopsys, Inc. All other use, reproduction, or distribution of
this software is strictly prohibited.

AVA Version: S-2021.09-DEV, Build time: Thu Oct 28 06:52:47 2021, Application start time: Wed Feb 01 17:51:03 2023
Hostname: aorus, Username: bborges, PID: 306923
Working_Directory : /home/bborges/github/circuitos/c17v4
Command_Line_Options : c17v4_dm.hsp.json

This file format and content are subject to change.
================================================================

#QQnorm plots from data
# Not suitable for quantitative analysis
#Number of plot points
41
#Number of Measures
2
#Measure moments
Statistic,maxout,minout
Nominal,0.00114,-0.001588
Mean,0.001074,-0.001495
StdDev,0.0001289,0.0003117
Skewness,-0.08286,0.6114
Kurtosis,2.575,4.606
# Q/QL/QU refer to the Quantile and its Lower/Upper confidence limits in terms of sigma
#Measure names
maxout,minout,Q,QL,QU
0.0008378,-0.00203,-2,-3.995,-0.9043
0.0008395,-0.002023,-1.9,-3.698,-0.8609
0.0008412,-0.002016,-1.8,-3.4,-0.8174
0.000843,-0.002009,-1.7,-3.103,-0.7739
0.0008447,-0.002002,-1.6,-2.805,-0.7304
0.000848,-0.001992,-1.5,-2.547,-0.6808
0.0008543,-0.001976,-1.4,-2.363,-0.6194
0.0008606,-0.00196,-1.3,-2.18,-0.5579
0.0008841,-0.001943,-1.2,-2.015,-0.491
0.00092,-0.001925,-1.1,-1.862,-0.4201
0.0009462,-0.001851,-1,-1.718,-0.3457
0.0009642,-0.001732,-0.9,-1.581,-0.2685
0.0009668,-0.0017,-0.8,-1.452,-0.1873
0.0009675,-0.001688,-0.7,-1.326,-0.1038
0.0009723,-0.001677,-0.6,-1.205,-0.01784
0.00101,-0.001597,-0.5,-1.089,0.071
0.001023,-0.001567,-0.4,-0.9756,0.1623
0.001051,-0.001558,-0.3,-0.8653,0.2559
0.001065,-0.001527,-0.2,-0.7577,0.3517
0.001068,-0.001504,-0.1,-0.6527,0.4498
0.001083,-0.001493,0,-0.5501,0.5501
0.001106,-0.001444,0.1,-0.4498,0.6527
0.001121,-0.001386,0.2,-0.3517,0.7577
0.001129,-0.001366,0.3,-0.2559,0.8653
0.001134,-0.001354,0.4,-0.1623,0.9756
0.001139,-0.001341,0.5,-0.071,1.089
0.001155,-0.001338,0.6,0.01784,1.205
0.00117,-0.001321,0.7,0.1038,1.326
0.00118,-0.001312,0.8,0.1873,1.452
0.001186,-0.001309,0.9,0.2685,1.581
0.001199,-0.0013,1,0.3457,1.718
0.001208,-0.001283,1.1,0.4201,1.862
0.001213,-0.001256,1.2,0.491,2.015
0.001218,-0.001229,1.3,0.5579,2.18
0.001224,-0.001203,1.4,0.6194,2.363
0.001229,-0.001177,1.5,0.6808,2.547
0.001248,-0.001087,1.6,0.7304,2.805
0.001274,-0.0009645,1.7,0.7739,3.103
0.0013,-0.0008417,1.8,0.8174,3.4
0.001326,-0.0007188,1.9,0.8609,3.698
0.001352,-0.000596,2,0.9043,3.995
