****** Advanced Variability Analysis ******
Copyright (c) 2018 - 2022 by Synopsys, Inc. All Rights Reserved.

This software and the associated documentation are proprietary
to Synopsys, Inc. This software may only be used in accordance
with the terms and conditions of a written license agreement with
Synopsys, Inc. All other use, reproduction, or distribution of
this software is strictly prohibited.

AVA Version: S-2021.09-DEV, Build time: Thu Oct 28 06:52:47 2021, Application start time: Tue Oct 11 00:20:13 2022
Hostname: aorus, Username: bborges, PID: 2370743
Working_Directory : /home/bborges/github/circuitos/c17v5
Command_Line_Options : c17v5_dm.hsp.json

This file format and content are subject to change.
================================================================

#QQnorm plots from data
# Not suitable for quantitative analysis
#Number of plot points
65
#Number of Measures
4
#Measure moments
Statistic,maxnod,maxout,minnod,minout
Nominal,0.03181,0.001125,0.03143,-0.00154
Mean,0.03232,0.001073,0.03192,-0.001558
StdDev,0.003941,0.000178,0.003936,0.0003106
Skewness,16.18,1.425,16.21,0.2811
Kurtosis,318.1,11.41,318.8,7.939
# Q/QL/QU refer to the Quantile and its Lower/Upper confidence limits in terms of sigma
#Measure names
maxnod,maxout,minnod,minout,Q,QL,QU
0.03156,0.00061,0.03112,-0.002566,-3.2,-4.561,-2.569
0.03156,0.0006279,0.03112,-0.002531,-3.1,-4.19,-2.534
0.03156,0.0006459,0.03113,-0.002497,-3,-3.82,-2.5
0.03156,0.0006654,0.03113,-0.002454,-2.9,-3.549,-2.455
0.03156,0.0006847,0.03113,-0.002409,-2.8,-3.329,-2.405
0.03156,0.0006912,0.03114,-0.002407,-2.7,-3.146,-2.348
0.03156,0.0007251,0.03114,-0.002398,-2.6,-2.981,-2.285
0.03156,0.0007394,0.03115,-0.002376,-2.5,-2.83,-2.217
0.03156,0.0007435,0.03116,-0.002359,-2.4,-2.689,-2.145
0.03156,0.000748,0.03117,-0.002334,-2.3,-2.555,-2.069
0.03157,0.0007533,0.03117,-0.00228,-2.2,-2.428,-1.991
0.03157,0.0007596,0.03119,-0.002255,-2.1,-2.305,-1.909
0.03157,0.0007672,0.0312,-0.002209,-2,-2.185,-1.825
0.03157,0.0007779,0.03121,-0.00219,-1.9,-2.069,-1.739
0.03158,0.0007873,0.03122,-0.002163,-1.8,-1.955,-1.65
0.03158,0.0007944,0.03123,-0.002131,-1.7,-1.843,-1.561
0.03158,0.0008095,0.03124,-0.002104,-1.6,-1.733,-1.47
0.03158,0.000822,0.03125,-0.002044,-1.5,-1.625,-1.378
0.03159,0.0008397,0.03126,-0.002004,-1.4,-1.517,-1.285
0.0316,0.0008586,0.03127,-0.001983,-1.3,-1.411,-1.191
0.0316,0.0008792,0.03128,-0.001944,-1.2,-1.305,-1.096
0.03161,0.0008982,0.03128,-0.001908,-1.1,-1.2,-1.001
0.03162,0.0009153,0.03129,-0.001871,-1,-1.096,-0.9047
0.03163,0.0009285,0.03129,-0.001813,-0.9,-0.9925,-0.8081
0.03165,0.0009418,0.0313,-0.001786,-0.8,-0.8894,-0.7111
0.03167,0.0009539,0.03131,-0.00176,-0.7,-0.7868,-0.6135
0.03169,0.000967,0.03132,-0.00173,-0.6,-0.6846,-0.5156
0.03171,0.0009831,0.03133,-0.001704,-0.5,-0.5829,-0.4173
0.03173,0.0009984,0.03135,-0.001675,-0.4,-0.4814,-0.3187
0.03175,0.001016,0.03136,-0.001648,-0.3,-0.3804,-0.2198
0.03177,0.001032,0.03137,-0.001611,-0.2,-0.2796,-0.1205
0.0318,0.001048,0.03139,-0.001562,-0.1,-0.1791,-0.02091
0.03183,0.001062,0.03141,-0.001507,0,-0.07896,0.07896
0.03185,0.001076,0.03143,-0.001467,0.1,0.02091,0.1791
0.03187,0.001094,0.03145,-0.001434,0.2,0.1205,0.2796
0.03189,0.001115,0.03148,-0.001411,0.3,0.2198,0.3804
0.03193,0.001136,0.03151,-0.001388,0.4,0.3187,0.4814
0.03196,0.001148,0.03155,-0.00137,0.5,0.4173,0.5829
0.032,0.001162,0.03159,-0.001351,0.6,0.5156,0.6846
0.03204,0.001177,0.03164,-0.001326,0.7,0.6135,0.7868
0.03209,0.001191,0.03169,-0.001305,0.8,0.7111,0.8894
0.03217,0.001204,0.03173,-0.001288,0.9,0.8081,0.9925
