****** Advanced Variation Analysis ******
Copyright (c) 2018 - 2023 by Synopsys, Inc. All Rights Reserved.

This software and the associated documentation are proprietary
to Synopsys, Inc. This software may only be used in accordance
with the terms and conditions of a written license agreement with
Synopsys, Inc. All other use, reproduction, or distribution of
this software is strictly prohibited.

AVA Version: T-2022.06-SP2, Build time: Wed Nov 23 00:57:55 2022, Application start time: Wed Jul 12 17:11:41 2023
Hostname: aorus, Username: bborges, PID: 84588
Working_Directory : /home/bborges/github/circuitos/nand
Command_Line_Options : nand.hsp.json

This file format and content are subject to change.
================================================================

#QQnorm plots from data
# Not suitable for quantitative analysis
#Number of plot points
31
#Number of Measures
4
#Measure moments
Statistic,maxnod,maxout,minnod,minout
Nominal,0.66818,0.70293,0.66752,0.69706
Mean_CI(2.5%),0.62841,0.70284,0.64356,0.69694
Mean,0.65979,0.70299,0.65915,0.69714
Mean_CI(97.5%),0.66836,0.70307,0.67105,0.69715
Median_CI(2.5%),0.59697,0.70289,0.66181,0.69687
Median,0.67085,0.70304,0.67011,0.69702
Median_CI(97.5%),0.67207,0.70321,0.6723,0.69715
StdDev_CI(2.5%),0.0051623,0.00025581,0.0036352,0.00021541
StdDev,0.024601,0.00029895,0.024582,0.00038669
StdDev_CI(97.5%),0.037853,0.00035754,0.035605,0.00042952
MAD_CI(2.5%),0,0.00012854,0.0013294,2.6687e-06
MAD,0.0044393,0.00025782,0.0048235,0.00041794
MAD_CI(97.5%),0.015795,0.00047488,0.015551,0.00049415
Skewness_CI(2.5%),-2.7511,-1.1386,-2.8719,-0.0020862
Skewness,-2.5701,-0.71875,-2.5674,0.36206
Skewness_CI(97.5%),0.36637,0.089343,-0.80783,1.9082
Kurtosis_CI(2.5%),0.65632,0.73613,1.2861,1.3132
Kurtosis,9.9192,2.4364,9.9032,1.6731
Kurtosis_CI(97.5%),10.901,3.2535,11.401,7.3623
# Q/QL/QU refer to the Quantile and its Lower/Upper confidence limits in terms of sigma
#Measure names
Q,QL,QU,maxnod,maxout,minnod,minout
-1.5,-3.6337,-0.16748,0.60514,0.7025,0.60454,0.69666
-1.4,-3.3737,-0.11537,0.61392,0.70251,0.61329,0.69667
-1.3,-3.1136,-0.063251,0.62269,0.70253,0.62203,0.69669
-1.2,-2.8536,-0.011136,0.63147,0.70254,0.63077,0.69671
-1.1,-2.5935,0.04098,0.64024,0.70256,0.63951,0.69672
-1,-2.3335,0.093095,0.64901,0.70257,0.64825,0.69674
-0.9,-2.1422,0.16024,0.65374,0.70263,0.65301,0.69677
-0.8,-1.9843,0.23464,0.65652,0.70271,0.65584,0.6968
-0.7,-1.8263,0.30904,0.6593,0.7028,0.65868,0.69683
-0.6,-1.6683,0.38344,0.66207,0.70288,0.66151,0.69687
-0.5,-1.537,0.47001,0.66312,0.70291,0.66256,0.69692
-0.4,-1.4089,0.55801,0.66396,0.70293,0.66339,0.69697
-0.3,-1.2807,0.64601,0.6648,0.70295,0.66423,0.69701
-0.2,-1.166,0.74348,0.66667,0.70297,0.66605,0.69702
-0.1,-1.0543,0.84299,0.66876,0.70301,0.66808,0.69702
0,-0.9425,0.9425,0.67085,0.70304,0.67011,0.69702
0.1,-0.84299,1.0543,0.67128,0.70309,0.67057,0.69707
0.2,-0.74348,1.166,0.67172,0.70314,0.67103,0.69712
0.3,-0.64601,1.2807,0.67208,0.70319,0.67141,0.69717
0.4,-0.55801,1.4089,0.67211,0.70319,0.67142,0.69728
0.5,-0.47001,1.537,0.67214,0.7032,0.67144,0.69739
0.6,-0.38344,1.6683,0.67219,0.70321,0.67148,0.69749
0.7,-0.30904,1.8263,0.67242,0.70321,0.6717,0.69753
0.8,-0.23464,1.9843,0.67264,0.70321,0.67192,0.69757
0.9,-0.16024,2.1422,0.67287,0.70322,0.67215,0.69761
1,-0.093095,2.3335,0.67306,0.70322,0.67236,0.69764
1.1,-0.04098,2.5935,0.67319,0.70325,0.67253,0.69765
1.2,0.011136,2.8536,0.67333,0.70327,0.6727,0.69766
1.3,0.063251,3.1136,0.67346,0.70329,0.67287,0.69768
1.4,0.11537,3.3737,0.67359,0.70332,0.67304,0.69769
1.5,0.16748,3.6337,0.67372,0.70334,0.67321,0.6977
