****** Advanced Variability Analysis ******
Copyright (c) 2018 - 2022 by Synopsys, Inc. All Rights Reserved.

This software and the associated documentation are proprietary
to Synopsys, Inc. This software may only be used in accordance
with the terms and conditions of a written license agreement with
Synopsys, Inc. All other use, reproduction, or distribution of
this software is strictly prohibited.

AVA Version: S-2021.09-DEV, Build time: Thu Oct 28 06:52:47 2021, Application start time: Wed Jul 20 00:44:16 2022
Hostname: aorus, Username: bborges, PID: 715094
Working_Directory : /home/bborges/github/circuitos/nor
Command_Line_Options : nor_dm.hsp.json

This file format and content are subject to change.
================================================================

#QQnorm plots from data
# Not suitable for quantitative analysis
#Number of plot points
65
#Number of Measures
4
#Measure moments
Statistic,maxnod,maxout,minnod,minout
Nominal,0.6685,0.0005864,0.6682,-0.0008061
Mean,0.6688,0.0005592,0.6685,-0.0008217
StdDev,0.001463,9.638e-05,0.001452,0.0001639
Skewness,10.24,0.6242,10.29,-0.5594
Kurtosis,134.6,3.538,135.7,2.956
# Q/QL/QU refer to the Quantile and its Lower/Upper confidence limits in terms of sigma
#Measure names
maxnod,maxout,minnod,minout,Q,QL,QU
0.6676,0.0003107,0.6674,-0.00131,-3.2,-4.561,-2.569
0.6677,0.0003259,0.6675,-0.001297,-3.1,-4.19,-2.534
0.6678,0.0003411,0.6676,-0.001285,-3,-3.82,-2.5
0.6681,0.0003503,0.6678,-0.001279,-2.9,-3.549,-2.455
0.6684,0.0003569,0.668,-0.001275,-2.8,-3.329,-2.405
0.6684,0.0003647,0.6681,-0.001271,-2.7,-3.146,-2.348
0.6684,0.0003687,0.6681,-0.001266,-2.6,-2.981,-2.285
0.6684,0.0003729,0.6681,-0.001261,-2.5,-2.83,-2.217
0.6684,0.0003807,0.6681,-0.001253,-2.4,-2.689,-2.145
0.6684,0.0003828,0.6681,-0.001227,-2.3,-2.555,-2.069
0.6684,0.0003868,0.6681,-0.001222,-2.2,-2.428,-1.991
0.6684,0.000392,0.6681,-0.001195,-2.1,-2.305,-1.909
0.6684,0.0003977,0.6681,-0.001172,-2,-2.185,-1.825
0.6684,0.0004037,0.6681,-0.001162,-1.9,-2.069,-1.739
0.6684,0.0004084,0.6681,-0.00115,-1.8,-1.955,-1.65
0.6685,0.0004135,0.6681,-0.001141,-1.7,-1.843,-1.561
0.6685,0.0004206,0.6681,-0.001135,-1.6,-1.733,-1.47
0.6685,0.0004268,0.6681,-0.001115,-1.5,-1.625,-1.378
0.6685,0.0004338,0.6681,-0.001099,-1.4,-1.517,-1.285
0.6685,0.0004408,0.6681,-0.001073,-1.3,-1.411,-1.191
0.6685,0.0004496,0.6681,-0.001054,-1.2,-1.305,-1.096
0.6685,0.0004574,0.6681,-0.001034,-1.1,-1.2,-1.001
0.6685,0.0004632,0.6682,-0.001007,-1,-1.096,-0.9047
0.6685,0.0004725,0.6682,-0.0009729,-0.9,-0.9925,-0.8081
0.6685,0.0004827,0.6682,-0.0009413,-0.8,-0.8894,-0.7111
0.6685,0.0004918,0.6682,-0.0009226,-0.7,-0.7868,-0.6135
0.6685,0.0004981,0.6682,-0.0009101,-0.6,-0.6846,-0.5156
0.6685,0.0005036,0.6682,-0.0008921,-0.5,-0.5829,-0.4173
0.6685,0.0005102,0.6682,-0.0008758,-0.4,-0.4814,-0.3187
0.6686,0.0005194,0.6682,-0.000856,-0.3,-0.3804,-0.2198
0.6686,0.0005369,0.6682,-0.0008339,-0.2,-0.2796,-0.1205
0.6686,0.0005468,0.6682,-0.000813,-0.1,-0.1791,-0.02091
0.6686,0.0005549,0.6683,-0.0007875,0,-0.07896,0.07896
0.6686,0.0005645,0.6683,-0.0007656,0.1,0.02091,0.1791
0.6686,0.0005731,0.6683,-0.0007488,0.2,0.1205,0.2796
0.6686,0.0005779,0.6683,-0.0007353,0.3,0.2198,0.3804
0.6686,0.0005879,0.6684,-0.0007259,0.4,0.3187,0.4814
0.6687,0.0005937,0.6684,-0.0007116,0.5,0.4173,0.5829
0.6687,0.0006014,0.6684,-0.0007008,0.6,0.5156,0.6846
0.6687,0.0006096,0.6684,-0.0006903,0.7,0.6135,0.7868
0.6687,0.0006205,0.6684,-0.0006809,0.8,0.7111,0.8894
0.6687,0.0006333,0.6684,-0.0006733,0.9,0.8081,0.9925
0.6687,0.0006492,0.6685,-0.0006671,1,0.9047,1.096
0.6687,0.0006607,0.6685,-0.0006576,1.1,1.001,1.2
0.6688,0.0006723,0.6685,-0.0006485,1.2,1.096,1.305
0.669,0.0006976,0.6686,-0.0006403,1.3,1.191,1.411
0.6691,0.0007114,0.6688,-0.000634,1.4,1.285,1.517
