indice,pmos,nmos,nodo,saida,corrente,LETth
1.0,0.0,0.0,g1,g1,106.25,53406084.65608465
2.0,-0.8294,-0.8014,g1,g1,81.25,40839947.08994709
3.0,0.215,-0.2677,g1,g1,112.5,56547619.047619045
4.0,0.8946,1.6757,g1,g1,125.0,62830687.830687836
5.0,1.0447,0.2014,g1,g1,131.25,65972222.222222224
6.0,2.7742,-1.7987,g1,g1,162.5,81679894.17989418
7.0,-1.2719,0.656,g1,g1,70.3125,35342261.9047619
8.0,0.4482,-0.4937,g1,g1,118.75,59689153.43915344
9.0,1.4379,0.3209,g1,g1,137.5,69113756.61375661
10.0,-0.378,-0.5189,g1,g1,93.75,47123015.87301587
11.0,0.3415,0.5518,g1,g1,112.5,56547619.047619045
12.0,-0.1841,0.29,g1,g1,100.0,50264550.26455026
13.0,-0.7446,0.8485,g1,g1,84.375,42410714.285714276
14.0,0.6697,-1.2438,g1,g1,121.875,61259920.63492063
15.0,-1.1911,0.6131,g1,g1,71.875,36127645.50264551
16.0,0.9694,0.3824,g1,g1,131.25,65972222.222222224
17.0,0.6073,-1.8849,g1,g1,118.75,59689153.43915344
18.0,0.2451,0.8013,g1,g1,112.5,56547619.047619045
19.0,0.8362,-1.3209,g1,g1,125.0,62830687.830687836
20.0,-1.2897,-2.4502,g1,g1,68.75,34556878.306878306
21.0,0.724,0.4527,g1,g1,125.0,62830687.830687836
22.0,-0.2172,-0.7223,g1,g1,100.0,50264550.26455026
23.0,-1.5757,-0.5204,g1,g1,62.5,31415343.915343918
24.0,1.8448,1.4914,g1,g1,150.0,75396825.3968254
25.0,1.7263,-0.2509,g1,g1,143.75,72255291.00529101
26.0,0.4233,-0.6471,g1,g1,115.625,58118386.24338624
27.0,-0.6952,-1.3806,g1,g1,87.5,43981481.48148148
28.0,0.383,-0.9646,g1,g1,112.5,56547619.047619045
29.0,1.6099,0.667,g1,g1,143.75,72255291.00529101
30.0,0.7432,-0.4127,g1,g1,125.0,62830687.830687836
31.0,0.5062,1.0667,g1,g1,118.75,59689153.43915344
32.0,0.1982,-0.6887,g1,g1,109.375,54976851.85185184
33.0,-1.3396,-0.9693,g1,g1,68.75,34556878.306878306
34.0,-0.8909,-0.4554,g1,g1,81.25,40839947.08994709
35.0,-0.6278,-1.3938,g1,g1,87.5,43981481.48148148
36.0,1.4317,-0.4497,g1,g1,137.5,69113756.61375661
37.0,1.7744,-0.258,g1,g1,143.75,72255291.00529101
38.0,-0.6133,-0.05788,g1,g1,87.5,43981481.48148148
39.0,-1.435,0.9223,g1,g1,65.625,32986111.111111112
40.0,-0.05277,-0.5781,g1,g1,103.125,51835317.460317455
41.0,0.4383,0.9878,g1,g1,118.75,59689153.43915344
