****** Advanced Variability Analysis ******
Copyright (c) 2018 - 2022 by Synopsys, Inc. All Rights Reserved.

This software and the associated documentation are proprietary
to Synopsys, Inc. This software may only be used in accordance
with the terms and conditions of a written license agreement with
Synopsys, Inc. All other use, reproduction, or distribution of
this software is strictly prohibited.

AVA Version: S-2021.09-DEV, Build time: Thu Oct 28 06:52:47 2021, Application start time: Sat May 07 13:48:08 2022
Hostname: aorus, Username: bborges, PID: 1433012
Working_Directory : /home/bborges/github
Command_Line_Options : nand_dm.hsp.json

This file format and content are subject to change.
================================================================

#QQnorm plots from data
# Not suitable for quantitative analysis
#Number of plot points
23
#Number of Measures
1
#Measure moments
Statistic,larg
Nominal,4.631e-11
Mean,1.329e-10
StdDev,5.93e-11
Skewness,0.7804
Kurtosis,1.998
# Q/QL/QU refer to the Quantile and its Lower/Upper confidence limits in terms of sigma
#Measure names
larg,Q,QL,QU
7.755e-11,-1.1,-3.575,0.6074
7.949e-11,-1,-3.361,0.6783
8.144e-11,-0.9,-3.147,0.7492
8.338e-11,-0.8,-2.933,0.8201
8.533e-11,-0.7,-2.72,0.891
8.727e-11,-0.6,-2.506,0.9619
8.922e-11,-0.5,-2.292,1.033
9.116e-11,-0.4,-2.078,1.104
9.392e-11,-0.3,-1.882,1.183
1.002e-10,-0.2,-1.766,1.3
1.066e-10,-0.1,-1.649,1.416
1.129e-10,0,-1.533,1.533
1.192e-10,0.1,-1.416,1.649
1.255e-10,0.2,-1.3,1.766
1.318e-10,0.3,-1.183,1.882
1.424e-10,0.4,-1.104,2.078
1.54e-10,0.5,-1.033,2.292
1.656e-10,0.6,-0.9619,2.506
1.771e-10,0.7,-0.891,2.72
1.887e-10,0.8,-0.8201,2.933
2.003e-10,0.9,-0.7492,3.147
2.118e-10,1,-0.6783,3.361
2.234e-10,1.1,-0.6074,3.575
