indice,pmos,nmos,nodo,saida,corrente,LETth
1.0,0.0,0.0,g1,g1,144.53125,72647982.8042328
2.0,-0.8294,-0.8014,g1,g1,144.53125,72647982.8042328
3.0,0.215,-0.2677,g1,g1,144.53125,72647982.8042328
4.0,0.8946,1.6757,g1,g1,144.53125,72647982.8042328
5.0,1.0447,0.2014,g1,g1,144.53125,72647982.8042328
6.0,2.7742,-1.7987,g1,g1,144.53125,72647982.8042328
7.0,-1.2719,0.656,g1,g1,144.53125,72647982.8042328
8.0,0.4482,-0.4937,g1,g1,144.53125,72647982.8042328
9.0,1.4379,0.3209,g1,g1,144.53125,72647982.8042328
10.0,-0.378,-0.5189,g1,g1,144.53125,72647982.8042328
