****** Advanced Variability Analysis ******
Copyright (c) 2018 - 2022 by Synopsys, Inc. All Rights Reserved.

This software and the associated documentation are proprietary
to Synopsys, Inc. This software may only be used in accordance
with the terms and conditions of a written license agreement with
Synopsys, Inc. All other use, reproduction, or distribution of
this software is strictly prohibited.

AVA Version: S-2021.09-DEV, Build time: Thu Oct 28 06:52:47 2021, Application start time: Sat May 07 00:51:41 2022
Hostname: aorus, Username: bborges, PID: 786874
Working_Directory : /home/bborges/github
Command_Line_Options : nor_dm.hsp.json

This file format and content are subject to change.
================================================================

#QQnorm plots from data
# Not suitable for quantitative analysis
#Number of plot points
61
#Number of Measures
1
#Measure moments
Statistic,larg
Nominal,-4.66e-11
Mean,-1.511e-10
StdDev,8.067e-11
Skewness,-0.752
Kurtosis,4.104
# Q/QL/QU refer to the Quantile and its Lower/Upper confidence limits in terms of sigma
#Measure names
larg,Q,QL,QU
-5.313e-10,-3,-4.424,-2.324
-4.993e-10,-2.9,-4.063,-2.289
-4.672e-10,-2.8,-3.701,-2.254
-4.406e-10,-2.7,-3.412,-2.211
-4.191e-10,-2.6,-3.194,-2.16
-4.038e-10,-2.5,-3.005,-2.103
-3.982e-10,-2.4,-2.835,-2.042
-3.593e-10,-2.3,-2.68,-1.975
-3.517e-10,-2.2,-2.536,-1.904
-3.422e-10,-2.1,-2.4,-1.83
-3.355e-10,-2,-2.27,-1.752
-3.143e-10,-1.9,-2.145,-1.671
-3.003e-10,-1.8,-2.024,-1.588
-2.884e-10,-1.7,-1.907,-1.503
-2.808e-10,-1.6,-1.792,-1.416
-2.722e-10,-1.5,-1.679,-1.327
-2.639e-10,-1.4,-1.568,-1.237
-2.594e-10,-1.3,-1.458,-1.145
-2.515e-10,-1.2,-1.35,-1.053
-2.437e-10,-1.1,-1.243,-0.9593
-2.346e-10,-1,-1.137,-0.865
-2.252e-10,-0.9,-1.031,-0.7698
-2.166e-10,-0.8,-0.927,-0.674
-2.067e-10,-0.7,-0.8232,-0.5775
-1.994e-10,-0.6,-0.7201,-0.4805
-1.885e-10,-0.5,-0.6175,-0.3829
-1.795e-10,-0.4,-0.5155,-0.2849
-1.694e-10,-0.3,-0.4139,-0.1863
-1.575e-10,-0.2,-0.3128,-0.08736
-1.486e-10,-0.1,-0.2121,0.01204
-1.402e-10,0,-0.1119,0.1119
-1.326e-10,0.1,-0.01204,0.2121
-1.259e-10,0.2,0.08736,0.3128
-1.161e-10,0.3,0.1863,0.4139
-1.1e-10,0.4,0.2849,0.5155
-1.027e-10,0.5,0.3829,0.6175
-9.431e-11,0.6,0.4805,0.7201
-8.585e-11,0.7,0.5775,0.8232
-8.036e-11,0.8,0.674,0.927
-7.599e-11,0.9,0.7698,1.031
-7.068e-11,1,0.865,1.137
-6.428e-11,1.1,0.9593,1.243
-5.733e-11,1.2,1.053,1.35
-5.452e-11,1.3,1.145,1.458
-5.028e-11,1.4,1.237,1.568
-4.614e-11,1.5,1.327,1.679
-4.302e-11,1.6,1.416,1.792
-3.983e-11,1.7,1.503,1.907
-3.341e-11,1.8,1.588,2.024
-2.47e-11,1.9,1.671,2.145
-2.125e-11,2,1.752,2.27
-1.883e-11,2.1,1.83,2.4
-1.494e-11,2.2,1.904,2.536
-1.186e-11,2.3,1.975,2.68
-1.025e-11,2.4,2.042,2.835
-9.156e-12,2.5,2.103,3.005
-7.212e-12,2.6,2.16,3.194
-5.109e-12,2.7,2.211,3.412
-3.783e-12,2.8,2.254,3.701
-3.246e-12,2.9,2.289,4.063
-2.708e-12,3,2.324,4.424
